player_id,player_name,player_position,team_name,n_events,n_passes,n_carries,n_takeons,dos_mean,dos_median,dos_pos_rate,dos_p95,awareness_mean,detection_delay_mean_s,xt_delta_mean,xt_delta_sum,xt_origin_mean,ddef_3s_mean,biaxial_mean,n_wrongfooted_mean,pct_nearest_blind,diag_share,fwd_share,side_share,success_rate,back_line_break_rate
DFL-OBJ-0028P2,Frederik Rønnow,TW,1. FC Union Berlin,98,69,29,0,0.012055454051928732,0.00472456136624915,0.9387755102040817,0.039081871148866174,0.2854673704192492,0.2061990537242789,-0.002432678157147582,-0.23840245940046303,0.009907325547730095,4.585387548882227,0.44097645784126366,3.1122448979591835,0.5816326530612245,0.32653061224489793,0.5408163265306123,0.1326530612244898,0.29591836734693877,0.0
DFL-OBJ-0002HC,A. Nübel,TW,VfB Stuttgart,51,40,11,0,0.009089595730009777,0.0039038008565376,0.8627450980392157,0.0341947769617244,0.3219873959393631,0.22423036558175985,-0.002175419402229952,-0.11094638951372755,0.010073088931404146,4.2377755803179475,0.4428481541255553,2.2941176470588234,0.5294117647058824,0.5098039215686274,0.35294117647058826,0.13725490196078433,0.47058823529411764,0.0196078431372549
DFL-OBJ-0000I4,Manuel Neuer,TW,FC Bayern München,151,112,39,0,0.0069985432527673135,0.0026094322418193,0.9470198675496688,0.02908259483713795,0.36917507199873517,0.18364170061218393,6.228228671855918e-06,0.0009404625294502436,0.010044364609933068,4.868296021652176,0.44017605342504407,1.0066225165562914,0.2052980132450331,0.5099337748344371,0.2185430463576159,0.271523178807947,0.6622516556291391,0.0
DFL-OBJ-0001EH,D. Heuer Fernandes,TW,Hamburger SV,52,38,14,0,0.007502225158672533,0.00469428534724005,0.9038461538461539,0.02249896031941968,0.3729402682367739,0.1823093693925212,-0.0010769737913393655,-0.056002637149647004,0.00992483737383499,4.118854576429246,0.4302106956091481,1.5384615384615385,0.38461538461538464,0.34615384615384615,0.34615384615384615,0.3076923076923077,0.5576923076923077,0.0
DFL-OBJ-J01UNV,Kauã Santos,TW,Eintracht Frankfurt,91,70,21,0,0.006226488699906008,0.0027522091088097,0.9010989010989011,0.02300115167295685,0.38004176060994793,0.18154835314045653,-0.0019028756550025993,-0.17316168460523654,0.009638235118961646,4.754006664348313,0.4134434080174427,1.3296703296703296,0.25274725274725274,0.34065934065934067,0.37362637362637363,0.2857142857142857,0.5274725274725275,0.0
DFL-OBJ-J01G5D,L. Assignon,DRM,VfB Stuttgart,57,45,10,2,0.013740085852672427,0.0126468890759331,0.9122807017543859,0.03930310149394931,0.38812017900732854,0.18897051775401763,0.000258405059868607,0.014729088412510598,0.015751054434084345,3.648003509910495,0.39617803707094007,1.912280701754386,0.2909090909090909,0.2982456140350877,0.17543859649122806,0.5263157894736842,0.7368421052631579,0.0
DFL-OBJ-J01ND9,A. Kemlein,DMZ,1. FC Union Berlin,34,28,4,2,0.007378814595395085,0.00518739942690455,0.8529411764705882,0.02760572769384246,0.39279121741582435,0.16289325922078793,0.0011592658590592233,0.03941503920801359,0.01931943931277998,5.788615338679587,0.402259382571409,1.9705882352941178,0.40625,0.35294117647058826,0.17647058823529413,0.47058823529411764,0.7352941176470589,0.0
DFL-OBJ-J020KQ,L. Querfeld,IVZ,1. FC Union Berlin,71,57,12,2,0.008015692639225623,0.0024452229197327,0.8873239436619719,0.0288773125513614,0.40058365544971203,0.15106261228598813,-0.0021246820710064574,-0.1508524270414585,0.015655479762938622,5.332475714742979,0.5427890206945813,1.6619718309859155,0.34782608695652173,0.36619718309859156,0.18309859154929578,0.4507042253521127,0.6901408450704225,0.014084507042253521
DFL-OBJ-J01KAI,Tom Rothe,DLM,1. FC Union Berlin,42,31,7,4,0.010413116116707947,0.0068092208263237,0.9047619047619048,0.02843733450803955,0.40160852037818373,0.15783734149777745,-0.0019529303628595344,-0.08202307524010044,0.01769256332452785,4.360742786032192,0.45999923325369985,1.1428571428571428,0.2631578947368421,0.2619047619047619,0.3333333333333333,0.40476190476190477,0.6428571428571429,0.023809523809523808
DFL-OBJ-J01GQO,Danilho Doekhi,IVR,1. FC Union Berlin,45,34,7,4,0.008914912206563668,0.0036619081825354,0.9333333333333333,0.02906106175348944,0.40367348312216017,0.1739368348599958,-0.0028598968556056035,-0.12869535850225217,0.02008012487410835,4.660577886094648,0.42173969798489874,2.022222222222222,0.4146341463414634,0.4,0.26666666666666666,0.3333333333333333,0.5777777777777777,0.0
