match,event_id,event_type,frame,half,team_name,player_name,player_position,direction_class,origin_zone,dest_zone,x_origin,y_origin,x_dest,y_dest,dos,xt_delta,xt_origin,ddef_3s,biaxial,pc1_3s,pc2_3s,pc3_3s,awareness_mean,detection_delay_mean,n_wrongfooted,pct_wrongfooted,nearest_in_blind,mean_theta_shoulder_all,mean_theta_head_all,receiver_open_angle,receiver_turn_needed,n_teammates_in_fov,evaluation,back_line_break,bypassed_defenders,through_ball,distance,pressure_player
Frankfurt_Union,18903400001173,pass,3062990,2,1. FC Union Berlin,A. Ilić,STZ,sideways,wing,wing,-32.83,-24.89,-28.26,-25.81,0.0914980011746517,-0.0042151547275697,0.0310804114484705,2.702120224331664,0.7887227683196117,0.9443690168359202,1.1973396163621797,0.5604115911335638,0.4115427931260064,0.2190683109877856,3,1.0,False,1.034881353378296,0.5784993767738342,1.2174362513326085,0.7144519024049751,1.0,successfullyCompleted,False,0.0,False,4.66,0.34
Union_Bayern,18909300000146,pass,2815717,1,1. FC Union Berlin,Diogo Leite,IVL,sideways,half_space,half_space,47.69,7.76,48.02,-6.18,0.0798379200149693,0.039024431615785,0.1731888752636033,2.249127225719839,0.14242982010225588,-1.1479786465611832,-0.1635063921109405,0.9376421870477152,0.1185969871637437,0.3434125466111503,8,1.0,True,2.411054372787476,2.502985000610352,0.3859518777706174,0.1172811996318844,6.0,successfullyCompleted,False,1.0,False,13.94,1.98
Frankfurt_Union,18903400001115,pass,3052296,2,1. FC Union Berlin,I. Ansah,STL,sideways,half_space,half_space,-14.44,7.4,-11.26,12.72,0.0717821213256503,-0.00155277474601,0.0203739762719663,1.8643576703558349,0.14687131981811383,0.1645988080375983,-1.1207008164796115,0.5790580458386253,0.3280979566137318,0.234558899470288,3,1.0,True,0.8982938528060913,0.5213123559951782,,,,successfullyCompleted,False,-2.0,False,6.2,0.36
Union_Bayern,18909300000610,pass,2907683,1,FC Bayern München,J. Stanišić,LV,diagonal,half_space,half_space,28.02,-17.51,26.31,-13.93,0.0716023821075505,-0.0100213099999999,0.0100213099999999,3.582563706555357,0.3488045341535228,-2.361239884112128,-0.823611177802449,0.3977126446407805,0.4381415436245369,0.2223722916604861,3,1.0,False,0.6041595935821533,0.3944690823554992,2.294778248174783,1.8692476953107084,1.0,unsuccessful,False,-1.0,False,3.97,0.29
Frankfurt_Union,18903400001337,pass,3093210,2,Eintracht Frankfurt,R. Dōan,ORM,sideways,half_space,center,44.46,-18.13,46.53,4.52,0.0712091333459393,-0.0500630519486521,0.0500630519486521,1.1494305607212163,0.07425145987385519,0.0447046321674637,0.6020707504392748,-0.5026551781144778,0.1982851496820558,0.3192276670395423,9,1.0,True,2.336092233657837,2.3015341758728027,0.7176594034888772,0.9618561760642556,4.0,unsuccessful,False,-1.0,False,22.74,0.87
Frankfurt_Bayern,18905200001329,pass,3600126,2,Eintracht Frankfurt,Jean-Mattéo Bahoya,OLM,sideways,wing,center,43.98,20.32,33.5,3.37,0.0698092119667189,0.0135806549275025,0.0454978690724974,2.2669734203090712,0.7997130921236267,-0.616591949176348,-0.771016449835774,-0.8793650212969492,0.2084665586199518,0.3115854879503541,5,1.0,True,1.6730036735534668,1.686519980430603,0.8827675683606875,1.1417541606534731,4.0,successfullyCompleted,False,0.0,False,19.93,0.73
Bayern_Hamburg,18902400000511,pass,3428922,1,FC Bayern München,Michael Olise,ORM,sideways,half_space,half_space,-35.75,17.76,-27.98,11.12,0.0663120562478047,-0.0112388316854117,0.0393140108645378,2.7532530021208688,0.5887588953715204,-0.751676989559046,-0.4425565140489738,-1.559019498512849,0.3640969268106235,0.2468419372398652,4,1.0,False,1.0689436197280884,0.7983869314193726,0.8999996269682982,1.071190365646277,2.0,successfullyCompleted,False,0.0,False,10.22,0.79
Union_Bayern,18909300000227,pass,2831441,1,1. FC Union Berlin,R. Khedira,HL,sideways,wing,half_space,41.34,24.74,40.64,14.88,0.0651900325599794,-0.0393328583618353,0.0393328583618353,4.667388315824616,0.3965496417438324,1.9678579161588063,-0.7803533516555392,-1.919177048010271,0.4532140279125413,0.1791399410704114,2,1.0,True,0.5472831130027771,0.4062473475933075,0.8223405809721615,1.463071729393926,1.0,unsuccessful,False,-1.0,False,9.88,0.25
Bayern_Hamburg,18902400000138,pass,3353406,1,Hamburger SV,Miro Muheim,DLM,diagonal,wing,wing,-22.28,34.08,-15.0,21.89,0.0647170846523159,0.0023981297521008,0.0093508957857142,1.6205235708394157,0.09158320943167131,1.235358331071977,0.1131380807577248,0.2720271590097136,0.218938496063084,0.3043154323237964,2,1.0,True,1.1108732223510742,1.0464760065078735,2.426826473650208,2.393226620134583,2.0,successfullyCompleted,False,3.0,False,14.2,
Bayern_Hamburg,18902400000288,pass,3377770,1,Hamburger SV,A. Soumahoro,IVL,diagonal,wing,half_space,-32.27,21.67,-27.93,16.36,0.0637554875951372,0.0008538361661176,0.0092555646221176,2.588195014722185,0.14446810612382424,-1.897446112757372,-0.2741204463820698,-0.4166284555827443,0.4908387205907676,0.1872477637289807,2,1.0,False,0.5649519562721252,0.2552106976509094,3.013138786954052,2.9434807459536856,2.0,successfullyCompleted,False,1.0,False,6.86,0.0
