player_id,player_name,player_position,team_name,n_events,n_passes,n_carries,n_takeons,dos_mean,dos_median,dos_pos_rate,dos_p95,awareness_mean,detection_delay_mean_s,xt_delta_mean,xt_delta_sum,xt_origin_mean,ddef_3s_mean,biaxial_mean,n_wrongfooted_mean,pct_nearest_blind,diag_share,fwd_share,side_share,success_rate,back_line_break_rate
DFL-OBJ-0027FW,Oliver Burke,STR,1. FC Union Berlin,32,18,11,3,0.0140057817614329,0.00898313293813705,0.84375,0.043665918550688576,0.4562955369724895,0.1321703156434311,0.005788341913519744,0.1852269412326318,0.02445614872581907,5.980095064121029,0.4493052320396913,1.5,0.20689655172413793,0.21875,0.25,0.53125,0.5,0.0
DFL-OBJ-J01ND9,A. Kemlein,DMZ,1. FC Union Berlin,34,28,4,2,0.007378814595395085,0.00518739942690455,0.8529411764705882,0.02760572769384246,0.39279121741582435,0.16289325922078793,0.0011592658590592233,0.03941503920801359,0.01931943931277998,5.788615338679587,0.402259382571409,1.9705882352941178,0.40625,0.35294117647058826,0.17647058823529413,0.47058823529411764,0.7352941176470589,0.0
DFL-OBJ-00264T,W. Anton,IVR,Borussia Dortmund,53,40,13,0,0.007665335632792504,0.003114677373334,0.8301886792452831,0.0307060031489992,0.43842326993758696,0.1316184824541804,0.00027935251337625006,0.014805683208941253,0.013232091733225006,5.544596280598156,0.46537785829772194,0.8867924528301887,0.18867924528301888,0.22641509433962265,0.22641509433962265,0.5471698113207547,0.6981132075471698,0.0
DFL-OBJ-00278S,Serhou Guirassy,STZ,Borussia Dortmund,34,24,8,2,0.013860897701602364,0.011134322026626,0.9117647058823529,0.03513135366345134,0.4573549953285655,0.13658616703165466,0.004165629201079597,0.1416313928367063,0.026771001113518097,5.500866419953462,0.4256991935886536,1.3823529411764706,0.25,0.2647058823529412,0.14705882352941177,0.5882352941176471,0.7352941176470589,0.029411764705882353
DFL-OBJ-000280,J. Brandt,OHR,Borussia Dortmund,34,28,5,1,0.012196364341391522,0.008735414818263149,0.9411764705882353,0.03162283981796941,0.4319260568182112,0.14486700116642917,-0.0017354633908668253,-0.05900575528947206,0.019975892291158436,5.347788221300142,0.3680207393037551,1.7352941176470589,0.30303030303030304,0.4117647058823529,0.14705882352941177,0.4411764705882353,0.5294117647058824,0.058823529411764705
DFL-OBJ-J020KQ,L. Querfeld,IVZ,1. FC Union Berlin,71,57,12,2,0.008015692639225623,0.0024452229197327,0.8873239436619719,0.0288773125513614,0.40058365544971203,0.15106261228598813,-0.0021246820710064574,-0.1508524270414585,0.015655479762938622,5.332475714742979,0.5427890206945813,1.6619718309859155,0.34782608695652173,0.36619718309859156,0.18309859154929578,0.4507042253521127,0.6901408450704225,0.014084507042253521
DFL-OBJ-00012T,E. Can,IVZ,Borussia Dortmund,69,53,14,2,0.007108129366109887,0.0041437689017899,0.8405797101449275,0.025390038280032112,0.44655970459990324,0.14767870029214536,-0.0014790006369478942,-0.1020510439494047,0.012757094290032541,5.2523225900167985,0.4937398945128825,1.3623188405797102,0.22388059701492538,0.2318840579710145,0.2608695652173913,0.5072463768115942,0.6376811594202898,0.0
DFL-OBJ-0002DW,J. Haberer,DRM,1. FC Union Berlin,52,43,9,0,0.011615697259616121,0.010066362662419951,0.9038461538461539,0.03841318554349329,0.4341639187931381,0.1407760920480326,-0.001192820306764948,-0.06202665595177729,0.016680995312571247,5.080387458252433,0.45539550886576763,1.8653846153846154,0.40384615384615385,0.34615384615384615,0.25,0.40384615384615385,0.5961538461538461,0.038461538461538464
DFL-OBJ-J01N5U,W. Mikelbrencis,DRM,Hamburger SV,35,23,10,2,0.011661953056869772,0.0068151589677375,0.9714285714285714,0.033464863926981295,0.442368199655876,0.14091945962494215,0.0016555949790012115,0.057945824265042405,0.0208792249404934,5.045981077899283,0.40335192825836674,1.0,0.15151515151515152,0.17142857142857143,0.11428571428571428,0.7142857142857143,0.6285714285714286,0.0
DFL-OBJ-002G4A,Ellyes Skhiri,nan,Eintracht Frankfurt,57,43,13,1,0.00772954753571733,0.0044770229000442,0.8245614035087719,0.025702136025786273,0.477640583911312,0.12009013059906151,-0.0004507273759753342,-0.02569146043059405,0.011814395471690593,5.014191365513169,0.5210618214378062,1.0701754385964912,0.19642857142857142,0.2982456140350877,0.07017543859649122,0.631578947368421,0.7368421052631579,0.0
DFL-OBJ-J01LAX,F. Jeltsch,IVR,VfB Stuttgart,77,55,20,2,0.0076531448194088565,0.005362626560885,0.8181818181818182,0.023828479814130058,0.4789456192740055,0.12634661336742187,-0.00015834228413865562,-0.012192355878676482,0.013473312812182508,5.007758633352829,0.46639210729195474,1.0,0.12,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.6753246753246753,0.0
DFL-OBJ-J01WS3,I. Ansah,STL,1. FC Union Berlin,59,22,20,17,0.011720125744229886,0.0085229645645303,0.9322033898305084,0.03397153504894965,0.48711542340569175,0.10468681176255121,-0.0012169976331241653,-0.07180286035432576,0.02631742414441584,4.956889732151274,0.4623320269306728,1.1016949152542372,0.2857142857142857,0.2711864406779661,0.2542372881355932,0.4745762711864407,0.5932203389830508,0.0
DFL-OBJ-J01R3Q,Carney Chukwuemeka,OHL,Borussia Dortmund,53,32,19,2,0.01517027916730321,0.0138188521187696,0.9433962264150944,0.037736715416969796,0.5013963519830668,0.11263320737902885,0.00015585708007939805,0.008260425244208097,0.021062517714169608,4.88203838281022,0.3803217120289464,1.3584905660377358,0.19607843137254902,0.32075471698113206,0.09433962264150944,0.5849056603773585,0.6037735849056604,0.018867924528301886
DFL-OBJ-0000I4,Manuel Neuer,TW,FC Bayern München,151,112,39,0,0.0069985432527673135,0.0026094322418193,0.9470198675496688,0.02908259483713795,0.36917507199873517,0.18364170061218393,6.228228671855918e-06,0.0009404625294502436,0.010044364609933068,4.868296021652176,0.44017605342504407,1.0066225165562914,0.2052980132450331,0.5099337748344371,0.2185430463576159,0.271523178807947,0.6622516556291391,0.0
DFL-OBJ-J01IZ9,N. Remberg,DMR,Hamburger SV,44,30,11,3,0.008471837302369221,0.004647376921786401,0.9318181818181818,0.025963825500712488,0.44847629791547927,0.11366082620217806,-0.00035402966785804313,-0.015577305385753897,0.012691459869188338,4.8187290694871905,0.4515785520105282,1.2727272727272727,0.24390243902439024,0.4318181818181818,0.022727272727272728,0.5454545454545454,0.6818181818181818,0.045454545454545456
DFL-OBJ-J01TPA,Jean-Mattéo Bahoya,OLM,Eintracht Frankfurt,57,37,16,4,0.014062657429042063,0.0112398821800103,0.8421052631578947,0.047501304095014,0.41827246393887707,0.1582012618470589,-0.0010162884604612633,-0.057928442246292004,0.018604215286536885,4.80612385473629,0.4071622105361021,1.3508771929824561,0.2830188679245283,0.17543859649122806,0.12280701754385964,0.7017543859649122,0.5964912280701754,0.0
DFL-OBJ-J01D1W,Jeff Chabot,IVZ,VfB Stuttgart,65,52,13,0,0.009986460925930859,0.0075395838506731,0.9076923076923077,0.02476168631019786,0.4339830568528015,0.1508231811014733,0.0003665227343851954,0.0238239777350377,0.013953630470421575,4.777356377562566,0.44220544667129374,1.0461538461538462,0.2,0.4153846153846154,0.16923076923076924,0.4153846153846154,0.7846153846153846,0.0
DFL-OBJ-J01UNV,Kauã Santos,TW,Eintracht Frankfurt,91,70,21,0,0.006226488699906008,0.0027522091088097,0.9010989010989011,0.02300115167295685,0.38004176060994793,0.18154835314045653,-0.0019028756550025993,-0.17316168460523654,0.009638235118961646,4.754006664348313,0.4134434080174427,1.3296703296703296,0.25274725274725274,0.34065934065934067,0.37362637362637363,0.2857142857142857,0.5274725274725275,0.0
DFL-OBJ-J01DJJ,Arthur Theate,IVL,Eintracht Frankfurt,241,181,59,1,0.010135572030871363,0.0076082456234615,0.8506224066390041,0.0340450225839522,0.4142990190791444,0.1462740048499772,0.0005042092947818951,0.12151444004243672,0.014567197283436306,4.7408009410461,0.4584927843993954,1.04149377593361,0.18333333333333332,0.37344398340248963,0.18672199170124482,0.43983402489626555,0.7012448132780082,0.008298755186721992
DFL-OBJ-0027BL,G. Kobel,TW,Borussia Dortmund,54,37,17,0,0.007322349414203107,0.00622429381815455,0.9074074074074074,0.023708125211833443,0.42978950984607267,0.17735748554189282,-0.0013707169228799351,-0.0740187138355165,0.009840540227023678,4.710391608311438,0.42407719166889596,1.7037037037037037,0.2777777777777778,0.3888888888888889,0.37037037037037035,0.24074074074074073,0.5,0.0
DFL-OBJ-0028RM,J. Ryerson,DRM,Borussia Dortmund,47,34,12,1,0.009945137037117599,0.007626527686865,0.8936170212765957,0.030386685442248974,0.4175162352651666,0.16076838885053654,-0.0002483820307222645,-0.011673955443946431,0.017031801927464573,4.695759997147409,0.45085743324266075,1.553191489361702,0.2391304347826087,0.3617021276595745,0.2553191489361702,0.3829787234042553,0.5957446808510638,0.02127659574468085
